Global_Rank;Institution;Country;Sector;Best Country Quartile
1;Ministry of Education of the People's Republic of China;CHN;Government;1
2;Chinese Academy of Sciences *;CHN;Government;1
3;Centre National de la Recherche Scientifique *;FRA;Government;1
4;Russian Academy of Sciences *;RUS;Government;1
5;American Cancer Society;USA;Health;1
6;Harvard University *;USA;Universities;1
7;University of Chinese Academy of Sciences;CHN;Universities;1
8;Helmholtz Gemeinschaft *;DEU;Government;1
9;Tsinghua University *;CHN;Universities;1
10;The New York Genome Center;USA;Health;1
11;Consejo Superior de Investigaciones Cientificas *;ESP;Government;1
12;Zhejiang University *;CHN;Universities;1
13;Harvard Medical School;USA;Universities;1
14;Shanghai Jiao Tong University *;CHN;Universities;1
15;European Bioinformatics Institute EMBL;GBR;Government;1
16;Peking University *;CHN;Universities;1
17;International Agency for Research on Cancer;FRA;Health;1
18;Max Planck Gesellschaft *;DEU;Government;1
19;U.S. Department of Health & Human Services *;USA;Health;1
20;Stanford University *;USA;Universities;1
21;University of Oxford *;GBR;Universities;1
22;Universidade de Sao Paulo *;BRA;Universities;1
23;University College London *;GBR;Universities;1
24;DeepMind Technologies Ltd, UK;GBR;Companies;1
25;Johns Hopkins University *;USA;Universities;1
26;University of Pennsylvania *;USA;Universities;1
27;Allen Institute for Artificial Intelligence;USA;Non-Profit;1
28;University of Michigan, Ann Arbor *;USA;Universities;1
29;DeepMind;MUL;Companies;1
30;Huazhong University of Science and Technology *;CHN;Universities;1
31;Institut National de la Sante et de la Recherche Medicale *;FRA;Health;1
32;University of Toronto;CAN;Universities;1
33;University of Chicago *;USA;Universities;1
34;Institute for Health Metrics and Evaluation;USA;Health;1
35;University of Washington *;USA;Universities;1
36;Wellcome Trust;GBR;Health;1
37;Alphabet Inc *;MUL;Companies;1
38;University of Amsterdam *;NLD;Universities;1
39;University of Cambridge *;GBR;Universities;1
40;Parker Institute for Cancer Immunotherapy;USA;Health;1
41;Sichuan University *;CHN;Universities;1
42;Columbia University *;USA;Universities;1
43;Central South University *;CHN;Universities;1
44;Massachusetts Institute of Technology *;USA;Universities;1
45;Google International LLC;MUL;Companies;1
46;National Institutes of Health;USA;Health;1
47;Veterans Affairs Medical Centers *;USA;Health;1
48;National University of Singapore *;SGP;Universities;1
49;University of California, Los Angeles *;USA;Universities;1
50;Imperial College London;GBR;Universities;1
51;Sorbonne Universite *;FRA;Universities;1
52;Consiglio Nazionale delle Ricerche *;ITA;Government;1
53;European Molecular Biology Laboratory Heidelberg;DEU;Government;1
54;University of Melbourne *;AUS;Universities;1
55;Cornell University *;USA;Universities;1
56;Sun Yat-Sen University *;CHN;Universities;1
57;Fudan University *;CHN;Universities;1
58;Centres de Recerca de Catalunya *;ESP;Non-Profit;1
59;University of California, San Diego *;USA;Universities;1
60;Google Inc, USA;USA;Companies;1
60;Yale University *;USA;Universities;1
62;Polish Academy of Sciences *;POL;Government;1
63;University of Sydney *;AUS;Universities;1
64;Xi'an Jiaotong University *;CHN;Universities;1
65;European Molecular Biology Organization *;DEU;Government;1
66;University of California, Berkeley *;USA;Universities;1
67;Vrije Universiteit Amsterdam *;NLD;Universities;1
68;Massachusetts General Hospital;USA;Health;1
69;Inception Institute of Artificial Intelligence;ARE;Non-Profit;1
